Year AD,Temperature (deg C anomaly wrt 1961-1990),2 sigma unc. low,2 sigma unc. high,,Bin Center (AD),Temperature (deg C anomaly wrt 1961-1990),,Bin Center (AD),Temperature (deg C anomaly wrt 1961-1990)
556,0.57,-0.43,1.67,,,,,,
557,0.37,-0.57,1.53,,,,,,
558,-0.10,-1.08,1.01,,,,,,
559,0.76,-0.28,1.96,,,,,,
560,0.06,-0.75,1.12,,,,,,
561,-0.14,-1.06,1.07,,,,,,
562,0.10,-0.80,1.15,,,,,,
563,0.12,-0.69,1.10,,,,,,
564,0.12,-1.02,1.35,,,,,,
565,-0.16,-1.37,1.27,,,,,,
566,-0.87,-1.80,0.18,,,,,,
567,0.04,-0.83,1.01,,,,,,
568,-0.09,-1.07,0.96,,,,,,
569,0.41,-0.63,1.66,,,,,,
570,-0.54,-1.74,0.76,,,,,,
571,-0.34,-1.50,0.92,,,,,,
572,0.19,-0.86,1.37,,,,,,
573,-0.58,-1.61,0.44,,,,,,
574,0.07,-0.92,1.42,,,,,,
575,-0.69,-2.02,0.68,,,,,,
576,-0.76,-1.94,0.57,,,,,,
577,-0.65,-1.52,0.49,,,,,,
578,-0.31,-1.34,0.85,,,,,,
579,-0.18,-1.03,0.96,,,,,,
580,-0.15,-1.12,0.85,,,,,,
581,-0.12,-1.08,1.08,,,,,,
582,-0.98,-1.96,0.40,,,,,,
583,-0.42,-1.49,0.88,,,,,,
584,-0.27,-1.29,0.95,,,,,,
585,-0.41,-1.37,0.63,,,,,,
586,0.16,-0.90,1.28,,,,,,
587,-0.04,-0.92,0.94,,,,,,
588,-0.16,-1.23,1.09,,,,,,
589,-0.77,-1.69,0.27,,,,,,
590,-0.34,-1.41,0.84,,,,,,
591,-0.42,-1.35,0.47,,,,,,
