Time (dec. yrs),Time (yr CE),Month,t2m (degC)
2007.875,2007,11,-36.137
2007.958,2007,12,-36.943
2008.042,2008,1,-40.056
2008.125,2008,2,-33.471
2008.208,2008,3,-35.764
2008.292,2008,4,-28.805
2008.375,2008,5,-19.553
2008.458,2008,6,-10.349
2008.542,2008,7,-10.297
2008.625,2008,8,-14.213
2008.708,2008,9,-20.951
2008.792,2008,10,-32.289
2008.875,2008,11,-38.205
2008.958,2008,12,-33.786
2009.042,2009,1,-38.889
2009.125,2009,2,-38.841
2009.208,2009,3,-37.947
2009.292,2009,4,-32.523
2009.375,2009,5,-18.551
2009.458,2009,6,-13.783
2009.542,2009,7,-9.758
2009.625,2009,8,-17.795
2009.708,2009,9,-26.504
2009.792,2009,10,-31.060
2009.875,2009,11,-37.585
2009.958,2009,12,-32.966
2010.042,2010,1,-29.577
2010.125,2010,2,-34.322
2010.208,2010,3,-37.339
2010.292,2010,4,-30.187
2010.375,2010,5,-15.938
2010.458,2010,6,-10.043
2010.542,2010,7,-10.460
2010.625,2010,8,-13.870
2010.708,2010,9,-21.749
2010.792,2010,10,-32.546
2010.875,2010,11,-27.629
2010.958,2010,12,-30.350
2011.042,2011,1,-34.806
2011.125,2011,2,-35.285
2011.208,2011,3,-37.734
2011.292,2011,4,-31.685
2011.375,2011,5,-19.429
2011.458,2011,6,-12.649
2011.542,2011,7,-10.084
2011.625,2011,8,-15.407
2011.708,2011,9,-22.734
2011.792,2011,10,-32.131
2011.875,2011,11,-33.164
2011.958,2011,12,-38.663
2012.042,2012,1,-36.092
2012.125,2012,2,-36.284
2012.208,2012,3,-34.715
2012.292,2012,4,-28.808
2012.375,2012,5,-19.555
2012.458,2012,6,-8.937
2012.542,2012,7,-8.868
2012.625,2012,8,-13.576
2012.708,2012,9,-24.325
2012.792,2012,10,-29.762
2012.875,2012,11,-35.189
2012.958,2012,12,-35.676
2013.042,2013,1,-36.852
2013.125,2013,2,-34.866
2013.208,2013,3,-34.401
2013.292,2013,4,-29.527
2013.375,2013,5,-21.150
2013.458,2013,6,-12.049
2013.542,2013,7,-11.131
2013.625,2013,8,-15.039
2013.708,2013,9,-21.212
2013.792,2013,10,-30.486
2013.875,2013,11,-38.544
2013.958,2013,12,-37.214
2014.042,2014,1,-34.680
2014.125,2014,2,-39.246
2014.208,2014,3,-38.367
2014.292,2014,4,-29.232
2014.375,2014,5,-22.260
2014.458,2014,6,-10.072
2014.542,2014,7,-8.702
2014.625,2014,8,-14.708
2014.708,2014,9,-23.604
2014.792,2014,10,-29.990
2014.875,2014,11,-30.676
2014.958,2014,12,-36.598
2015.042,2015,1,-35.662
2015.125,2015,2,-41.678
2015.208,2015,3,-37.232
2015.292,2015,4,-31.979
2015.375,2015,5,-20.976
2015.458,2015,6,-12.332
2015.542,2015,7,-9.458
2015.625,2015,8,-16.299
2015.708,2015,9,-22.143
2015.792,2015,10,-28.923
2015.875,2015,11,-34.927
2015.958,2015,12,-40.209
2016.042,2016,1,-32.198
2016.125,2016,2,-38.518
2016.208,2016,3,-31.696
2016.292,2016,4,-23.945
2016.375,2016,5,-18.447
2016.458,2016,6,-11.367
2016.542,2016,7,-9.940
2016.625,2016,8,-13.484
2016.708,2016,9,-22.805
2016.792,2016,10,-24.667
2016.875,2016,11,-31.442
2016.958,2016,12,-35.799
2017.042,2017,1,-40.064
2017.125,2017,2,-33.509
2017.208,2017,3,-33.964
2017.292,2017,4,-31.319
2017.375,2017,5,-15.689
2017.458,2017,6,-11.517
2017.542,2017,7,-11.024
2017.625,2017,8,-12.925
2017.708,2017,9,-21.186
2017.792,2017,10,-25.765
2017.875,2017,11,-33.939
2017.958,2017,12,-35.388
2018.042,2018,1,-38.724
2018.125,2018,2,-32.847
2018.208,2018,3,-34.089
2018.292,2018,4,-27.795
2018.375,2018,5,-20.650
2018.458,2018,6,-11.726
2018.542,2018,7,-11.191
2018.625,2018,8,-15.492
2018.708,2018,9,-25.136
2018.792,2018,10,-31.972
2018.875,2018,11,-32.895
2018.958,2018,12,-35.531
2019.042,2019,1,-36.585
2019.125,2019,2,-38.376
2019.208,2019,3,-38.187
2019.292,2019,4,-22.101
2019.375,2019,5,-15.415
2019.458,2019,6,-10.106
2019.542,2019,7,-9.515
2019.625,2019,8,-14.636
2019.708,2019,9,-21.906
2019.792,2019,10,-26.251
2019.875,2019,11,-28.057
2019.958,2019,12,-36.888
2020.042,2020,1,-36.306
2020.125,2020,2,-41.882
2020.208,2020,3,-39.988
2020.292,2020,4,-24.390
2020.375,2020,5,-20.412
2020.458,2020,6,-11.551
2020.542,2020,7,-9.977
2020.625,2020,8,-12.933
2020.708,2020,9,-28.723
2020.792,2020,10,-26.439
2020.875,2020,11,-32.095
2020.958,2020,12,-32.324
2021.042,2021,1,-33.301
2021.125,2021,2,-31.922
2021.208,2021,3,-33.224
2021.292,2021,4,-27.624
2021.375,2021,5,-17.102
2021.458,2021,6,-12.992
2021.542,2021,7,-9.244
2021.625,2021,8,-11.597
2021.708,2021,9,-24.012
