Year,B18_12,B21_12,B23_12,B26_12,NGRIP_12,B16,B18,B21,B26,B29,NEEM
1384,,,,,,,121,,,,
1383,,,,,,,143,,,,
1382,,,,,,,103,,,,
1381,,,,,,,82,,,,
1380,,,,,,,90,,,,
1379,,,,,,,87,,,,
1378,,,,,,,67,,,,
1377,,,,,,,74,,,,
1376,,,,,,,81,,,,
1375,,,,,,,83,,,,
1374,,,,,,,83,,,,
1373,,,,,,,75,,,,
1372,,,,,,,68,,,,
1371,,,,,,,91,,,,
1370,,,,,,,74,,,,
1369,,,,,,,125,,,,
1368,,,,,,,101,,,,
1367,,,,,,,124,,,,
1366,,,,,,,107,,,,
1365,,,,,,,83,,,,
1364,,,,,,,71,,,,
1363,,,,,,,105,,,,
1362,,,,,,,91,,,,
1361,,,,,,,83,,,,
1360,,,,,,,114,,,,
1359,,,,,,,110,,,,
1358,,,,,,,72,,,,
1357,,,,,,,80,,,,
1356,,,,,,,102,,,,
1355,,,,,,,73,,,,
1354,,,,,,,134,,,,
1353,,,,,,,91,,,,
1352,,,,,,,97,,,,
1351,,,,,,,87,,,,
1350,,,,,,,103,,,,
1349,,,,,,,113,,,,
1348,,,,,,,65,,,,
1347,,,,,,,84,,,,
1346,,,,,,,75,,,,
1345,,,,,,,71,,,,
1344,,,,,,,101,,,,
1343,,,,,,,97,,,,
1342,,,,,,,126,,,,
1341,,,,,,,63,,,,
1340,,,,,,,102,,,,
1339,,,,,,,126,,,,
1338,,,,,,,156,,,,
1337,,,,,,,129,,,,
1336,,,,,,,133,,,,
1335,,,,,,,124,,,,
1334,,,,,,,125,,,,
1333,,,,,,,71,,,,
1332,,,,,,,186,,,,
1331,,,,,,,107,,,,
1330,,,,,,,170,,,,
1329,,,,,,,148,,,,
1328,,,,,,,79,,,,
1327,,,,,,,87,,,,
1326,,,,,,,77,,,,
1325,,,,,,,101,,,,
1324,,,,,,,119,,,,
1323,,,,,,,100,,,,
1322,,,,,,,95,,,,
1321,,,,,,,75,,,,
1320,,,,,,,105,,,,
1319,,,,,,,110,,,,
1318,,,,,,,144,,,,
1317,,,,,,,157,,,,
1316,,,,,,,74,,,,
1315,,,,,,,66,,,,
1314,,,,,,,142,,,,
1313,,,,,,,164,,,,
1312,,,,,,,71,,,,
1311,,,,,,,113,,,,
1310,,,,,,,78,,,,
1309,,,,,,,77,,,,
1308,,,,,,,96,,,,
1307,,,,,,,98,,,,
1306,,,,,,,111,,,,
1305,,,,,,,74,,,,
1304,,,,,,,110,,,,
1303,,,,,,,87,,,,
1302,,,,,,,88,,,,
1301,,,,,,,95,,,,
1300,,,,,,,76,,,,
1299,,,,,,,103,,,,
1298,,,,,,,84,,,,
1297,,,,,,,80,,,,
1296,,,,,,,96,,,,
1295,,,,,,,113,,,,
1294,,,,,,,105,,,,
