B21_2012 depth (m) center	B21_2012 d18O (permil)
22.50983962	-33.202499
22.52983962	-33.213749
22.54983962	-32.758247
22.56983962	-33.257748
22.58983962	-33.159
22.60983962	-32.852753
22.62983962	-32.832748
22.64983962	-32.592499
22.66983962	-33.06525
22.68983962	-33.116501
22.70983962	-32.797249
22.72983962	-32.627998
22.74983962	-33.19725
22.76983962	-33.014
22.78983962	-33.148499
22.80983962	-33.661251
22.82983962	-33.581001
22.84983962	-33.957748
22.86983962	-34.580498
22.88983962	-34.800247
22.90983962	-34.880001
22.92983962	-35.103752
22.94983962	-35.37775
22.96983962	-35.660751
22.98983962	-35.919502
23.00983962	-36.1105
23.02983962	-36.133247
23.04983962	-36.196251
23.06983962	-36.043251
23.08983962	-36.074501
23.14983962	-35.575249
23.16983962	-35.312248
23.26983962	-34.078751
23.28983962	-33.923748
23.38983962	-33.632248
23.44983962	-34.021999
23.46983962	-34.250999
23.48983962	-34.573502
23.52983962	-35.18375
23.54983962	-35.452
23.56983962	-35.820751
23.72983962	-36.5005
23.90983962	-34.275749
24.00983962	-33.580002
24.04983962	-33.567001
24.06983962	-33.519249
24.08983962	-33.555748
24.10983962	-33.463501
24.12983962	-33.41375
24.14983962	-33.455002
24.16983962	-33.44825
24.24983962	-33.684502
24.26983962	-33.8395
24.28983962	-33.970501
24.30983962	-34.12825
24.34983962	-34.200001
24.36983962	-34.36475
24.38983962	-34.466999
24.40983962	-34.477501
24.42983962	-34.36525
24.44983962	-34.489998
24.46983962	-34.32325
24.50983962	-34.3675
